rep_id,learners,time,langval_all,prop_biased
32,SAM,50 iterations,0.7543,0% biased agents
34,SAM,200 iterations,0.7343,0% biased agents
37,SAM,50 iterations,0.7778,0% biased agents
27,SAM,150 iterations,0.7404,0% biased agents
38,SAM,50 iterations,0.7174,0% biased agents
30,SAM,100 iterations,0.7092,0% biased agents
36,SAM,50 iterations,0.7514,0% biased agents
31,SAM,100 iterations,0.6807,0% biased agents
33,SAM,100 iterations,0.7265,0% biased agents
28,SAM,150 iterations,0.7487,0% biased agents
29,SAM,100 iterations,0.7569,0% biased agents
39,SAM,50 iterations,0.711,0% biased agents
47,SAM,50 iterations,0.7765,0% biased agents
32,SAM,100 iterations,0.7417,0% biased agents
27,SAM,200 iterations,0.7401,0% biased agents
37,SAM,100 iterations,0.7787,0% biased agents
40,SAM,50 iterations,0.7349,0% biased agents
35,SAM,100 iterations,0.7345,0% biased agents
31,SAM,150 iterations,0.6832,0% biased agents
41,SAM,50 iterations,0.7757,0% biased agents
38,SAM,100 iterations,0.7099,0% biased agents
47,SAM,100 iterations,0.7772,0% biased agents
30,SAM,150 iterations,0.704,0% biased agents
36,SAM,100 iterations,0.7479,0% biased agents
43,SAM,50 iterations,0.7302,0% biased agents
28,SAM,200 iterations,0.749,0% biased agents
33,SAM,150 iterations,0.7274,0% biased agents
44,SAM,50 iterations,0.7384,0% biased agents
42,SAM,50 iterations,0.7139,0% biased agents
47,SAM,150 iterations,0.7776,0% biased agents
39,SAM,100 iterations,0.6928,0% biased agents
40,SAM,100 iterations,0.7362,0% biased agents
29,SAM,150 iterations,0.7602,0% biased agents
46,SAM,50 iterations,0.7394,0% biased agents
35,SAM,150 iterations,0.7387,0% biased agents
37,SAM,150 iterations,0.7766,0% biased agents
32,SAM,150 iterations,0.7418,0% biased agents
41,SAM,100 iterations,0.7756,0% biased agents
38,SAM,150 iterations,0.7114,0% biased agents
47,SAM,200 iterations,0.7716,0% biased agents
43,SAM,100 iterations,0.7322,0% biased agents
31,SAM,200 iterations,0.6818,0% biased agents
36,SAM,150 iterations,0.7374,0% biased agents
30,SAM,200 iterations,0.7101,0% biased agents
44,SAM,100 iterations,0.7454,0% biased agents
45,SAM,50 iterations,0.777,0% biased agents
48,SAM,50 iterations,0.7381,0% biased agents
33,SAM,200 iterations,0.7282,0% biased agents
42,SAM,100 iterations,0.7123,0% biased agents
49,SAM,50 iterations,0.6892,0% biased agents
40,SAM,150 iterations,0.734,0% biased agents
39,SAM,150 iterations,0.6912,0% biased agents
29,SAM,200 iterations,0.7598,0% biased agents
46,SAM,100 iterations,0.7407,0% biased agents
50,SAM,50 iterations,0.7517,0% biased agents
41,SAM,150 iterations,0.7688,0% biased agents
35,SAM,200 iterations,0.7359,0% biased agents
37,SAM,200 iterations,0.7775,0% biased agents
43,SAM,150 iterations,0.7337,0% biased agents
36,SAM,200 iterations,0.7379,0% biased agents
38,SAM,200 iterations,0.712,0% biased agents
32,SAM,200 iterations,0.7401,0% biased agents
50,SAM,100 iterations,0.7514,0% biased agents
48,SAM,100 iterations,0.7267,0% biased agents
44,SAM,150 iterations,0.7371,0% biased agents
49,SAM,100 iterations,0.6972,0% biased agents
42,SAM,150 iterations,0.7049,0% biased agents
52,SAM,50 iterations,0.7575,0% biased agents
40,SAM,200 iterations,0.7308,0% biased agents
46,SAM,150 iterations,0.7376,0% biased agents
45,SAM,100 iterations,0.7677,0% biased agents
51,SAM,50 iterations,0.7502,0% biased agents
39,SAM,200 iterations,0.6897,0% biased agents
50,SAM,150 iterations,0.7521,0% biased agents
53,SAM,50 iterations,0.7665,0% biased agents
41,SAM,200 iterations,0.7668,0% biased agents
43,SAM,200 iterations,0.7316,0% biased agents
52,SAM,100 iterations,0.7624,0% biased agents
49,SAM,150 iterations,0.7051,0% biased agents
48,SAM,150 iterations,0.731,0% biased agents
50,SAM,200 iterations,0.7587,0% biased agents
42,SAM,200 iterations,0.7036,0% biased agents
54,SAM,50 iterations,0.7217,0% biased agents
44,SAM,200 iterations,0.7345,0% biased agents
45,SAM,150 iterations,0.7662,0% biased agents
46,SAM,200 iterations,0.7411,0% biased agents
53,SAM,100 iterations,0.7562,0% biased agents
59,SAM,50 iterations,0.7624,0% biased agents
52,SAM,150 iterations,0.7631,0% biased agents
55,SAM,50 iterations,0.7144,0% biased agents
56,SAM,50 iterations,0.6459,0% biased agents
58,SAM,50 iterations,0.7224,0% biased agents
48,SAM,200 iterations,0.7246,0% biased agents
57,SAM,50 iterations,0.7546,0% biased agents
51,SAM,100 iterations,0.7542,0% biased agents
64,SAM,50 iterations,0.7742,0% biased agents
60,SAM,50 iterations,0.757,0% biased agents
49,SAM,200 iterations,0.7049,0% biased agents
