"sampling_stratregy","agent_number","mean_delta","time_max","prop_biased"
"SAM",11,0.35678391959799,"200","0% biased agents"
"SAM",12,0.412060301507538,"200","0% biased agents"
"SAM",13,0.477386934673367,"200","0% biased agents"
"SAM",14,0.4321608040201,"200","0% biased agents"
"SAM",15,0.412060301507538,"200","0% biased agents"
"SAM",16,0.371859296482412,"200","0% biased agents"
"SAM",17,0.452261306532663,"200","0% biased agents"
"SAM",18,0.301507537688442,"200","0% biased agents"
"SAM",19,0.422110552763819,"200","0% biased agents"
"SAM",20,0.417085427135678,"200","0% biased agents"
"SAM",21,0.396984924623116,"200","0% biased agents"
"SAM",22,0.457286432160804,"200","0% biased agents"
"SAM",23,0.49748743718593,"200","0% biased agents"
"SAM",24,0.517587939698492,"200","0% biased agents"
"SAM",25,0.457286432160804,"200","0% biased agents"
"SAM",26,0.442211055276382,"200","0% biased agents"
"SAM",27,0.472361809045226,"200","0% biased agents"
"SAM",28,0.492462311557789,"200","0% biased agents"
"SAM",29,0.391959798994975,"200","0% biased agents"
"SAM",30,0.49748743718593,"200","0% biased agents"
"SAM",31,0.442211055276382,"200","0% biased agents"
"SAM",32,0.35678391959799,"200","0% biased agents"
"SAM",33,0.577889447236181,"200","0% biased agents"
"SAM",34,0.452261306532663,"200","0% biased agents"
"SAM",35,0.402010050251256,"200","0% biased agents"
"SAM",36,0.266331658291457,"200","0% biased agents"
"SAM",37,0.391959798994975,"200","0% biased agents"
"SAM",38,0.472361809045226,"200","0% biased agents"
"SAM",39,0.371859296482412,"200","0% biased agents"
"SAM",40,0.381909547738693,"200","0% biased agents"
"SAM",41,0.351758793969849,"200","0% biased agents"
"SAM",42,0.336683417085427,"200","0% biased agents"
"SAM",43,0.311557788944724,"200","0% biased agents"
"SAM",44,0.50251256281407,"200","0% biased agents"
"SAM",45,0.251256281407035,"200","0% biased agents"
"SAM",46,0.236180904522613,"200","0% biased agents"
"SAM",47,0.381909547738693,"200","0% biased agents"
"SAM",48,0.482412060301508,"200","0% biased agents"
"SAM",49,0.467336683417085,"200","0% biased agents"
"SAM",50,0.256281407035176,"200","0% biased agents"
"SAM",51,0.462311557788945,"200","0% biased agents"
"SAM",52,0.331658291457286,"200","0% biased agents"
"SAM",53,0.482412060301508,"200","0% biased agents"
"SAM",54,0.417085427135678,"200","0% biased agents"
"SAM",55,0.437185929648241,"200","0% biased agents"
"SAM",56,0.452261306532663,"200","0% biased agents"
"SAM",57,0.422110552763819,"200","0% biased agents"
"SAM",58,0.341708542713568,"200","0% biased agents"
"SAM",59,0.442211055276382,"200","0% biased agents"
"SAM",60,0.35678391959799,"200","0% biased agents"
"SAM",61,0.371859296482412,"200","0% biased agents"
"SAM",62,0.477386934673367,"200","0% biased agents"
"SAM",63,0.407035175879397,"200","0% biased agents"
"SAM",64,0.402010050251256,"200","0% biased agents"
"SAM",65,0.437185929648241,"200","0% biased agents"
"SAM",66,0.50251256281407,"200","0% biased agents"
"SAM",67,0.366834170854271,"200","0% biased agents"
"SAM",68,0.517587939698492,"200","0% biased agents"
"SAM",69,0.442211055276382,"200","0% biased agents"
"SAM",70,0.482412060301508,"200","0% biased agents"
"SAM",71,0.457286432160804,"200","0% biased agents"
"SAM",72,0.241206030150754,"200","0% biased agents"
"SAM",73,0.201005025125628,"200","0% biased agents"
"SAM",74,0.276381909547739,"200","0% biased agents"
"SAM",75,0.50251256281407,"200","0% biased agents"
"SAM",76,0.417085427135678,"200","0% biased agents"
"SAM",77,0.371859296482412,"200","0% biased agents"
"SAM",78,0.396984924623116,"200","0% biased agents"
"SAM",79,0.376884422110553,"200","0% biased agents"
"SAM",80,0.477386934673367,"200","0% biased agents"
"SAM",81,0.361809045226131,"200","0% biased agents"
"SAM",82,0.512562814070352,"200","0% biased agents"
"SAM",83,0.386934673366834,"200","0% biased agents"
"SAM",84,0.487437185929648,"200","0% biased agents"
"SAM",85,0.527638190954774,"200","0% biased agents"
"SAM",86,0.231155778894472,"200","0% biased agents"
"SAM",87,0.457286432160804,"200","0% biased agents"
"SAM",88,0.336683417085427,"200","0% biased agents"
"SAM",89,0.316582914572864,"200","0% biased agents"
"SAM",90,0.42713567839196,"200","0% biased agents"
"SAM",91,0.331658291457286,"200","0% biased agents"
"SAM",92,0.251256281407035,"200","0% biased agents"
"SAM",93,0.49748743718593,"200","0% biased agents"
"SAM",94,0.527638190954774,"200","0% biased agents"
"SAM",95,0.271356783919598,"200","0% biased agents"
"SAM",96,0.507537688442211,"200","0% biased agents"
"SAM",97,0.437185929648241,"200","0% biased agents"
"SAM",98,0.371859296482412,"200","0% biased agents"
"SAM",99,0.271356783919598,"200","0% biased agents"
"SAM",101,0.351758793969849,"200","0% biased agents"
"SAM",102,0.442211055276382,"200","0% biased agents"
"MAP",2,0.355704697986577,"150","0% biased agents"
"MAP",3,0.328859060402685,"150","0% biased agents"
"MAP",4,0.402684563758389,"150","0% biased agents"
"MAP",5,0.295302013422819,"150","0% biased agents"
"MAP",6,0.201342281879195,"150","0% biased agents"
"MAP",7,0.187919463087248,"150","0% biased agents"
"MAP",8,0.348993288590604,"150","0% biased agents"
"MAP",9,0.120805369127517,"150","0% biased agents"
"MAP",10,0.275167785234899,"150","0% biased agents"
"MAP",11,0.268456375838926,"150","0% biased agents"
"MAP",12,0.348993288590604,"150","0% biased agents"
"MAP",13,0.147651006711409,"150","0% biased agents"
"MAP",14,0.228187919463087,"150","0% biased agents"
"MAP",15,0.174496644295302,"150","0% biased agents"
"MAP",16,0.261744966442953,"150","0% biased agents"
"MAP",17,0.328859060402685,"150","0% biased agents"
"MAP",18,0.25503355704698,"150","0% biased agents"
"MAP",19,0.201342281879195,"150","0% biased agents"
"MAP",20,0.436241610738255,"150","0% biased agents"
"MAP",21,0.288590604026846,"150","0% biased agents"
"MAP",22,0.36241610738255,"150","0% biased agents"
"MAP",23,0.348993288590604,"150","0% biased agents"
"MAP",24,0.436241610738255,"150","0% biased agents"
"MAP",25,0.449664429530201,"150","0% biased agents"
"MAP",26,0.295302013422819,"150","0% biased agents"
"MAP",27,0.456375838926175,"150","0% biased agents"
"MAP",28,0.315436241610738,"150","0% biased agents"
"MAP",29,0.476510067114094,"150","0% biased agents"
"MAP",30,0.187919463087248,"150","0% biased agents"
"MAP",31,0.241610738255034,"150","0% biased agents"
"MAP",32,0.10738255033557,"150","0% biased agents"
"MAP",33,0.187919463087248,"150","0% biased agents"
"MAP",34,0.0805369127516778,"150","0% biased agents"
"MAP",35,0.248322147651007,"150","0% biased agents"
"MAP",36,0.181208053691275,"150","0% biased agents"
"MAP",37,0.516778523489933,"150","0% biased agents"
"MAP",38,0.302013422818792,"150","0% biased agents"
"MAP",39,0.161073825503356,"150","0% biased agents"
"MAP",40,0.268456375838926,"150","0% biased agents"
"MAP",41,0.268456375838926,"150","0% biased agents"
"MAP",42,0.422818791946309,"150","0% biased agents"
"MAP",43,0.114093959731544,"150","0% biased agents"
"MAP",44,0.228187919463087,"150","0% biased agents"
"MAP",45,0.147651006711409,"150","0% biased agents"
"MAP",46,0.442953020134228,"150","0% biased agents"
"MAP",47,0.449664429530201,"150","0% biased agents"
"MAP",48,0.429530201342282,"150","0% biased agents"
"MAP",49,0.557046979865772,"150","0% biased agents"
"MAP",50,0.201342281879195,"150","0% biased agents"
"MAP",51,0.248322147651007,"150","0% biased agents"
"MAP",52,0.389261744966443,"150","0% biased agents"
"MAP",53,0.335570469798658,"150","0% biased agents"
"MAP",54,0.543624161073825,"150","0% biased agents"
"MAP",55,0.402684563758389,"150","0% biased agents"
"MAP",56,0.181208053691275,"150","0% biased agents"
"MAP",57,0.335570469798658,"150","0% biased agents"
"MAP",58,0.456375838926175,"150","0% biased agents"
"MAP",59,0.134228187919463,"150","0% biased agents"
"MAP",60,0.214765100671141,"150","0% biased agents"
"MAP",61,0.442953020134228,"150","0% biased agents"
"MAP",62,0.322147651006711,"150","0% biased agents"
"MAP",63,0.214765100671141,"150","0% biased agents"
"MAP",64,0.187919463087248,"150","0% biased agents"
"MAP",65,0.268456375838926,"150","0% biased agents"
"MAP",66,0.174496644295302,"150","0% biased agents"
"MAP",67,0.456375838926175,"150","0% biased agents"
"MAP",68,0.161073825503356,"150","0% biased agents"
"MAP",69,0.275167785234899,"150","0% biased agents"
"MAP",70,0.174496644295302,"150","0% biased agents"
"MAP",71,0.416107382550336,"150","0% biased agents"
"MAP",72,0.174496644295302,"150","0% biased agents"
"MAP",73,0.322147651006711,"150","0% biased agents"
"MAP",74,0.241610738255034,"150","0% biased agents"
"MAP",75,0.221476510067114,"150","0% biased agents"
"MAP",76,0.120805369127517,"150","0% biased agents"
"MAP",77,0.214765100671141,"150","0% biased agents"
"MAP",78,0.174496644295302,"150","0% biased agents"
"MAP",79,0.194630872483221,"150","0% biased agents"
"MAP",80,0.0671140939597315,"150","0% biased agents"
"MAP",81,0.154362416107383,"150","0% biased agents"
"MAP",82,0.0805369127516778,"150","0% biased agents"
"MAP",83,0.10738255033557,"150","0% biased agents"
"MAP",84,0.268456375838926,"150","0% biased agents"
"MAP",85,0.36241610738255,"150","0% biased agents"
"MAP",86,0.483221476510067,"150","0% biased agents"
"MAP",87,0.295302013422819,"150","0% biased agents"
"MAP",88,0.322147651006711,"150","0% biased agents"
"MAP",89,0.248322147651007,"150","0% biased agents"
"MAP",90,0.201342281879195,"150","0% biased agents"
"MAP",91,0.456375838926175,"150","0% biased agents"
